Case #1: 15 60 75
Case #2: 9 9 12 15
Case #3: 984 1002 1359 2664
Case #4: 657 1137 2340 2700
Case #5: 6530817 179085696 326855130 548860347
Case #6: 103206168 123593763 240109767 426544992
Case #7: 2268 3024 4032 5076
Case #8: 14472 14661 25728 26064
Case #9: 12 540 2463 2874
Case #10: 3 750000000
Case #11: 1191 1689 2808 2850
Case #12: 13257 22140 23568 39360
Case #13: 207876744 564978615 589105287 591887052
Case #14: 1533 1788 2535 2775
Case #15: 549 1587 1683 2850
Case #16: 10773 11448 14364 19152
Case #17: 123 1641 1911 2658
Case #18: 957 1368 1911 2712
Case #19: 252 1674 2457 2736
Case #20: 2238 2478 2718 2826
Case #21: 801 1281 1941 2289
Case #22: 244537536 526558935 563365344 681842655
Case #23: 3
Case #24: 189 255 435 1677
Case #25: 5562 9888 16146 28704
Case #26: 7857 9369 10476 13968
Case #27: 143192910 388652700 577992630 594816222
Case #28: 15174 26946 35928 47904
Case #29: 1872 2088 2619 2694
Case #30: 483 1281 1413 2058
Case #31: 318 330 2409 2526
Case #32: 40788846 154101081 162320652 676418568
Case #33: 1392 2037 2118 2805
Case #34: 1167 1374 1800 2664
Case #35: 9315 13878 18504 24672
Case #36: 4995 8880 9477 16848
Case #37: 102182760 226730760 321256758 590820003
Case #38: 600 864 1566 2508
Case #39: 201 228 612 2517
Case #40: 1392 1761 2361 2661
Case #41: 1272 1506 1986 2208
Case #42: 714 1911 2109 2658
Case #43: 219 1284 2334 2868
Case #44: 1728 3072 24759 44016
Case #45: 20708205 237140709 666758952 729729801
Case #46: 579 1800 2139 2835
Case #47: 675 1161 1773 2109
Case #48: 1101 2358 2682 2988
Case #49: 6426 11424 17928 31872
Case #50: 1017 1254 1713 2610
Case #51: 54 321 594 2496
Case #52: 75 1077 2169 2841
Case #53: 6885 12240 13149 23376
Case #54: 8856 11808 15744 22842
Case #55: 903 1014 1563 2829
Case #56: 321 786 2610 2787
Case #57: 2781 4944 25191 44784
Case #58: 57 498 2193 2598
Case #59: 12 309 879 1359
Case #60: 81 336 1554 1683
Case #61: 978 1077 1320 2037
Case #62: 6 762 1083 1482
Case #63: 345 534 828 2559
Case #64: 21044118 361111104 477514593 709429419
Case #65: 780 1704 2445 2556
Case #66: 123466683 137973837 231933468 700762188
Case #67: 8100 10098 14400 17952
Case #68: 233712015 279094479 408025548 733240959
Case #69: 15 369 651 2925
Case #70: 750000000
Case #71: 4055385 104386818 435348810 592000440
Case #72: 594 1626 2499 2505
Case #73: 11178 16308 21744 28992
Case #74: 144052113 238091217 326998191 613998018
Case #75: 8532 17928 23904 31872
Case #76: 315 375 1035 1116
Case #77: 312 1071 1233 2475
Case #78: 417 966 1956 2982
Case #79: 89897052 106572621 273584526 379970610
Case #80: 72 429 705 2787
Case #81: 879 906 1401 1626
Case #82: 168 456 1254 1782
Case #83: 528 1317 1737 1740
Case #84: 7992 14208 18711 33264
Case #85: 1851 1908 1983 2187
Case #86: 156 1143 1698 1809
Case #87: 2435316 161143977 370143003 581013474
Case #88: 3024 4032 5376 14310
Case #89: 365748858 469482045 540721266 748375659
Case #90: 39036126 118084677 443179239 615320490
Case #91: 15 63 1134 1758
Case #92: 166414797 552956820 590798859 708811611
Case #93: 18036 24138 32184 42912
Case #94: 205792848 499817271 506432970 578687904
Case #95: 435 1740 1878 2901
Case #96: 660 2325 2535 2868
Case #97: 51 1059 2016 2781
Case #98: 432 840 1446 1896
Case #99: 179020863 186378504 292511556 443954622
Case #100: 582 1332 2667 2994
